category,value,question,answer
MAMMALS,300,In Sumatra they call this tree-dwelling ape mawas,Orangutan
TV BARS & RESTAURANTS,300,"On this sitcom you could have seen Jay Thomas take a few ""Potts"" shots in the Blue Shamrock","""Love And War"""
GEMS & JEWELRY,300,"The Jonker, a 726-carat gem of this kind, was discovered in South Africa in 1934",Diamond
WORLD CITIES,300,This city founded in 1693 didn't become capital of Jamaica until 1872,Kingston
INVENTORS,300,Thomas Hancock patented vulcanized rubber in England the year before this man in the U.S.,Charles Goodyear
HODGEPODGE,300,Mercury & aneroid are the 2 main types of this instrument used to measure air pressure,Barometer
MAMMALS,400,"Though these ""Earth pigs"" eat ants, strictly speaking they are not anteaters",Aardvarks
TV BARS & RESTAURANTS,400,On this sitcom you may find the Crane brothers having coffee at Cafe Nervosa,"""Frasier"""
GEMS & JEWELRY,400,"It's the color of the Star of India, a famous 563-carat sapphire",Blue
WORLD CITIES,400,This capital of Saudi Arabia was built at an oasis,Riyadh
INVENTORS,400,"Typists owe a debt of thanks to Bette Nesmith, who invented this correction fluid",Liquid Paper
HODGEPODGE,400,"Members of this church are popularly called ""Moonies""",Unification Church
MAMMALS,500,"The fossa, a type of civet, is the dominant carnivore of this African island, the world's 4th largest",Madagascar
TV BARS & RESTAURANTS,500,"The Lunch Box in Lanford, Ill. is one of this sitcom's settings","""Roseanne"""
GEMS & JEWELRY,500,"The ""sherry"" type of this golden gemstone is sometimes heated to turn it pink",Topaz
WORLD CITIES,500,In 1932 Cholon was combined with this city in Vietnam's Mekong delta,Saigon (Ho Chi Minh City)
INVENTORS,600,The first inflatable rubber life jacket is credited to this man famous for his raincoats,Charles McIntosh
HODGEPODGE,500,"The fish called the Dolly Varden Trout was named for a character in this author's ""Barnaby Rudge""",Charles Dickens
THE 16TH CENTURY,200,"On July 29, 1588 this fleet was sighted off the coast of England",The Spanish Armada
FAMOUS MARGARETS,200,In 1994 this former British prime minister was installed as chancellor of the college of William And Mary,Margaret Thatcher
THE MISSISSIPPI,200,The Minnesota River joins the Mississippi near these twin cities,Minneapolis & St. Paul
HOLIDAYS & OBSERVANCES,200,"This March observance has been called the ""most important national holiday in Ireland""",St. Patrick's Day
ART,200,"In 1922 he painted his 1st major mural, ""Creation"", at the National Preparatory School in Mexico City",Diego Rivera
POETS,200,"In 1911 this ""Trees"" poet's first volume of verse, ""Summer of Love"" was published",Joyce Kilmer
THE 16TH CENTURY,400,"At the beginning of the century, Huayna Capac ruled this South American empire",Incas
FAMOUS MARGARETS,400,"Her 10th murder mystery, ""Murder in the National Cathedral"", was published in 1990",Margaret Truman
THE MISSISSIPPI,400,Riverboat casino gambling has increased tourism in this Hawkeye State's city of Bettendorf,Iowa
HOLIDAYS & OBSERVANCES,400,On August 30 this state observes Huey P. Long Day,Louisiana
ART,1900,"Botticelli featured members of this prominent family in his ""Adoration of the Magi""",The Medicis
POETS,400,"He became a reporter for the Chicago Daily News in 1917, a year after his ""Chicago Poems"" was published",Carl Sandburg
THE 16TH CENTURY,600,When Thomas Cavendish became the third to accomplish this feat it took 2 years & 50 days,Circumnavigate the globe
FAMOUS MARGARETS,600,"Found at a swap meet, the special Oscar stolen from this child star of ""Meet Me In St. Louis"" was returned in 1995",Margaret O' Brien
THE MISSISSIPPI,600,"This word for a Mississippi River embankment comes from the French meaning ""to rise""",Levee
HOLIDAYS & OBSERVANCES,600,It's the date on which the anniversary of D-Day & South Korea's Memorial Day are observed,June 6
ART,600,It's what Alexander Calder called his stationary sculptures,Stabiles
POETS,600,"George Thomson's ""Select Collection of Original Scottish Airs"" contains many of his songs",Robert Burns
THE 16TH CENTURY,800,This confederation was split in the 1531 War of the Catholic Cantons,Swiss Confederation
FAMOUS MARGARETS,800,Her photograph of Montana's Fort Peck Dam graced the cover of Life Magazine's first issue,Margaret Bourke-White
THE MISSISSIPPI,800,"Ferde Grofe wrote his ""Mississippi Suite"" 6 years before this famous suite","""Grand Canyon Suite"""
HOLIDAYS & OBSERVANCES,800,The Megillah or Story of Esther is read on this Jewish holiday,Purim
ART,800,"You can see his ""Majas on a Balcony"" at the Metropolitan Museum of Art",Francisco Goya
POETS,800,"In a Longfellow poem, this schooner is wrecked ""On the reef of Norman's Woe""",The Hesperus
THE 16TH CENTURY,1000,"In 1543 he published his treatise ""On the Revolutions of Heavenly Spheres""",Nicolaus Copernicus
FAMOUS MARGARETS,1000,"She was secretary of Health & Human Services 1983-85, then became U.S. ambassador to Ireland",Margaret Heckler
THE MISSISSIPPI,4500,This future Republican president managed flood relief on the Mississippi in 1927,Herbert Hoover
HOLIDAYS & OBSERVANCES,1000,"July 26 is observed as the feast day of the Virgin Mary's parents, St. Joachim & this woman",St. Anne
ART,1000,In 1983 he skirted 11 islands in Biscayne Bay with sheets of pink plastic,Christo
POETS,1000,"His 1892 work ""Barrack-Room Ballads"" included such poems as ""Fuzzy-Wuzzy"" & ""Danny Deever""",Rudyard Kipling
U.S.A.,100,A city in Utah is named for this Virginia home of Thomas Jefferson,Monticello
SPORTS,100,"On June 14, 1995 this team led by Hakeem Olajuwon won its second straight NBA title",Houston Rockets
FUN FOOD,100,"It's fun to pull this saltwater candy into long strands, then cut it into bite-size pieces",Taffy
THE BODY CANINE,100,These pendulous body parts of Doberman pinschers are often cropped to make them stand up,Ears
TIME,100,"Common abbreviation for the Latin phrase meaning ""In the year of our Lord""",A.D. (Anno Domini)
WORLD HISTORY,100,The history of the Tower of London goes back to the fortress built by this conqueror,William The Conqueror
U.S.A.,200,"Bertha Raffetto wrote Nevada's official one, ""Home Means Nevada""",State Song
SPORTS,200,"In 1985 he became the first jockey to win over $100,000,000 in career purses",Willie Shoemaker
FUN FOOD,200,"In 1995 Mrs. Gooch's Market in Glendale, Calif. baked a 710-lb cake made from 825 of these orange veggies",Carrots
THE BODY CANINE,200,A dog cools its body mainly by panting because these glands are only found on its feet,Sweat Glands
TIME,200,It's the word for 1/10 of a century,Decade
WORLD HISTORY,200,In 1633 he was brought before the Inquisition for believing the doctrine of the Earth moving around the sun,Galileo
U.S.A.,300,Some descendants of Jean Laffite's pirate crew still live on Grand Isle in this state,Louisiana
SPORTS,300,"Muhammad Ali called his 1974 heavyweight fight with this recent champ the ""Rumble In The Jungle""",George Foreman
FUN FOOD,300,"Frankenberry, Booberry & Count Chocula are types of these made by General Mills",Breakfast Cereals
THE BODY CANINE,300,"Like other running animals, many dogs lack this bone also called the clavicle",Collarbone
TIME,300,Season during which many clocks in the U.S. are set ahead an hour,"Spring (""Spring forward, fall back"")"
WORLD HISTORY,300,"In 1812 Napoleon's Grand Army of 614,000 invaded this country; months later only 40,000 were left",Russia
U.S.A.,400,Every other year the people of Monroe in this state celebrate Cheese Days,Wisconsin
SPORTS,400,He won the Indy 500 in 1992 & 1994; his father won the race on 4 previous occasions,"Al Unser, Jr."
FUN FOOD,400,"Guinness says the largest of these treats was a jelly one that weighed 3,739 lbs.; hope no one tried to dunk it",Doughnut
THE BODY CANINE,400,"The canine digestive system closely resembles the human while lacking this ""vermiform"" projection",Appendix
TIME,400,"Working 9-5, no lunches we're includi",40
WORLD HISTORY,400,"German for ""empire"", the first one was the Holy Roman Empire; the second was founded in 1871",Reich
U.S.A.,500,"This Ithaca, N.Y. school is the only Ivy League university established after the American Revolution",Cornell
SPORTS,500,In 1944 swimmer Ann Curtis became the 1st woman to receive this award as the nation's oustanding amateur athlete,Sullivan Award
FUN FOOD,500,"If their ice cream was known by their last names, they'd be scooping up Cohen & Greenfield's",Ben & Jerry's
THE BODY CANINE,800,"Varying in number, the caudal vertebrae of a dog are found in this body part",Tail
TIME,500,New Jersey & New Hampshire lie in the eastern time zone; New Mexico is in this zone,Mountain Time Zone
WORLD HISTORY,500,"This Athenian's code was so strict, you could be executed for stealing a cabbage",Draco
EXPLORERS,200,He began his mountain climbing career in New Zealand's Southern Alps,Sir Edmund Hillary
MIDDLE NAMES,200,Botanist George Carver took this middle name to distinguish himself from another George Carver,Washington
WOMEN IN GREEK MYTHOLOGY,200,"She was the goddess of marriage, even though her marriage to Zeus was far from blissful",Hera
THE CONGRESSIONAL MEDAL OF HONOR,200,"Awardees receive the medal, $400 a month for life & the right to be buried in this Virginia cemetery",Arlington National Cemetery
COUNTRIES,200,"The name of this country comes from the Koryo dynasty, which ruled until the 1300s",Korea
"""WORLD"" CINEMA",200,"When filming this 1956 motion picture, Cantinflas got many stamps in his ""Passepartout""",Around the World in 80 Days
EXPLORERS,400,"With about 180 men & 3 ships, he set out for Peru from Central America in January 1531",Francisco Pizarro
MIDDLE NAMES,400,"Named for the poet & essayist, author Ralph Ellison had this middle name",Waldo
WOMEN IN GREEK MYTHOLOGY,400,You could say this love goddess' eye was on the sparrow because the sparrow was sacred to her,Aphrodite
THE CONGRESSIONAL MEDAL OF HONOR,400,9 Congressional Medals have been awarded to these anonymous warriors,Unknown Soldiers
COUNTRIES,400,It's the smallest of the countries in the Benelux economic union,Luxembourg
"""WORLD"" CINEMA",400,Gene Barry meets Martians in this 1953 H.G. Wells sci-fi classic,"""War Of The Worlds"""
EXPLORERS,600,This Dane joined the Russian navy in 1704 & served in the war against Sweden,Vitus Bering
MIDDLE NAMES,600,Friends of country music sensation Mary Carpenter refer to her by this middle name,Chapin
WOMEN IN GREEK MYTHOLOGY,600,This daughter of King Nisus shared her name with a monster who lived near Charybdis,Scylla
THE CONGRESSIONAL MEDAL OF HONOR,600,"In 1989 this wild west scout & showman's medal, revoked in 1917, was restored","William ""Buffalo Bill"" Cody"
COUNTRIES,800,In 1991 Macedonia declared its independence from this country,Yugoslavia
"""WORLD"" CINEMA",600,This 1992 comedy featuring a Campbell & an Algar won 8 Oscars -- Not!,"""Wayne's World"""
EXPLORERS,800,"While serving as viceroy in India, he died suddenly at Cochin on December 24, 1524",Vasco Da Gama
MIDDLE NAMES,800,"Former president George Bush has 2 middle names, Herbert & this",Walker
WOMEN IN GREEK MYTHOLOGY,800,This goddess of the hunt turned the nymph Arethusa into a fountain so she could escape a river god,Artemis
THE CONGRESSIONAL MEDAL OF HONOR,2000,Only one medal has been awarded to a member of this service branch,Coast Guard
COUNTRIES,800,Hungarians largely in Transylvania make up this country's largest minority group,Romania
"""WORLD"" CINEMA",800,Author John Irving has a cameo in it as a wrestling referee,"""The World According To Garp"""
EXPLORERS,1000,"While searching for the 7 Cities of Cibola in 1540, this conquistador's party reached the Grand Canyon",Francisco Coronado
MIDDLE NAMES,1000,"Of American Indian ancestry, Colorado senator Ben Campbell adopted this middle name in 1980",Nighthorse
WOMEN IN GREEK MYTHOLOGY,1000,Some say this sorceress slew her brother Absyrtus before fleeing with the golden fleece,Medea
THE CONGRESSIONAL MEDAL OF HONOR,1000,59 medals were awarded to men who fought in this 1900 Asian uprising,The Boxer Rebellion
COUNTRIES,1000,In 1994 actor Ruben Blades ran for president of this Central American country; he came in 3rd,Panama
"""WORLD"" CINEMA",1000,"In this 1960 film, William Holden falls for lady of the evening Nancy Kwan in Hong Kong","""The World Of Suzie Wong"""
BIBLE QUOTATIONS,100,"A familiar line from Matthew says, ""What... God hath joined together, let not man"" do this",put asunder
SPORTS,100,"Co-captains of the 1992 Olympic basketball ""Dream Team"" were Magic Johnson & this Celtics star",Larry Bird
AMERICAN CUISINE,100,"Like Monterey Jack, Sonoma Jack cheese originated in this U.S. state",California
GROVER CLEVELAND,100,"During his 1st term, Cleveland used this power over 400 times, more than all his predecessors combined",the veto
RANKS & TITLES,100,"The French equivalent of mr., it's abbreviated just m.",monsieur
"""LADY""s",100,One who attends a queen or a princess,a lady-in-waiting
BIBLE QUOTATIONS,200,"In 1 Kings 3:12 God said to him, ""I have given thee a wise and an understanding heart""",Solomon
SPORTS,200,This NFL team's logo features a pirate with a dagger in his mouth,the Tampa Bay Buccaneers
AMERICAN CUISINE,200,New Englanders know that these vegetables put the red in red flannel hash,beets
GROVER CLEVELAND,200,"On Oct. 28, 1886 Cleveland presided over its dedication in New York Harbor",the Statue of Liberty
